,Unnamed: 0,ID,player_name,team,overall_innings,overall_runs,balls,overall_average,strike_rate,centuries,thirties,fifties,zeros,overall_notout,home_innings,away_innings,home_runs,home_not_out_count,home_average,total_home_ball_faced,home_strike_rate,home_zeros,home_30s,home_50s,home_100s,form_innings,form_runs,recent_zeros,recent_30s,recent_50s,recent_100s,recent_not_outs,form_average,total_recent_ball_faced,form_strike_rate,away_runs,away_not_out_count,away_average,total_away_ball_faced,away_strike_rate,away_zeros,away_30s,away_50s,away_100s,calculated_home_points,calculated_away_points,calculated_form_points,calculated_value
397,397,398,CR Ervine,Zimbabwe,24,502,516,25.1,82.62602906,0,4,3,1,4,8,16,97.0,2.0,16.16666667,0.0,0.0,1.0,2.0,0.0,0.0,10,288,0,0,3,0,2,36.0,0,0,405.0,2.0,28.92857143,0.0,0.0,0.0,2.0,3.0,0.0,1.1807560139381443,1.2740740741135803,5.3125,1.5571314741035855
398,398,399,CK Coventry,Zimbabwe,12,127,90,12.7,121.6254579,0,1,0,2,2,7,5,91.0,0.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,10,99,1,1,0,0,2,12.375,0,0,36.0,2.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8153846153846154,1.1666666666666665,5.151515151515151,0.9817322834645668
399,399,400,GA Lamb,Zimbabwe,4,32,55,16.0,69.48051948,0,0,0,1,2,2,2,7.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,4,32,1,0,0,0,2,16.0,0,0,25.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3999999999999997,1.4000000000000001,2.0,1.4
400,400,401,T Maruma,Zimbabwe,9,86,91,17.2,79.06044573,0,0,0,1,4,3,6,33.0,1.0,16.5,0.0,0.0,1.0,0.0,0.0,0.0,9,86,1,0,0,0,4,17.2,0,0,53.0,3.0,17.66666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0499999999999998,1.400000000264151,4.5,1.26
401,401,402,AG Cremer,Zimbabwe,16,68,103,5.230769231,58.40909091,0,0,0,3,3,6,10,22.0,1.0,4.4,0.0,0.0,2.0,0.0,0.0,0.0,10,39,2,0,0,0,1,4.333333333,0,0,46.0,2.0,5.75,0.0,0.0,1.0,0.0,0.0,0.0,0.84,0.8749999999999999,5.0,0.8615384615764705
402,402,403,RW Price,Zimbabwe,5,14,25,3.5,52.12121212,0,0,0,1,1,3,2,5.0,0.0,1.666666667,0.0,0.0,1.0,0.0,0.0,0.0,5,14,1,0,0,0,1,3.5,0,0,9.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000001400001,1.4,2.5,0.8749999999999999
403,403,404,Mohammad Sami,Pakistan,4,21,32,21.0,100.3968254,0,0,0,0,3,0,4,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,4,21,0,0,0,0,3,21.0,0,0,21.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.0,2.8
404,404,405,SW Masakadza,Zimbabwe,5,18,24,4.5,47.85714286,0,0,0,2,1,2,3,9.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,5,18,2,0,0,0,1,4.5,0,0,9.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.4,0.6999999999999998,2.5,0.875
405,405,406,AB Barath,West Indies,2,23,42,11.5,54.09090909,0,0,0,0,0,1,1,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2,23,0,0,0,0,0,11.5,0,0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.0,0.6999999999999998
406,406,407,DM Bravo,West Indies,18,340,335,21.25,83.56960832,0,6,0,3,2,10,8,171.0,0.0,17.1,0.0,0.0,3.0,3.0,0.0,0.0,10,149,2,2,0,0,1,16.55555556,0,0,169.0,2.0,28.16666667,0.0,0.0,0.0,3.0,0.0,0.0,0.963157894736842,1.146351084923077,5.201342281879195,1.263970588235294
407,407,408,M Vijay,India,9,169,165,18.77777778,83.57607673,0,3,0,1,0,0,9,31.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,9,169,1,3,0,0,0,18.77777778,0,0,169.0,0.0,18.77777778,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.9396449704970415,4.739644970414202,0.9396449704970415
