ID,player_name,team,overall_innings,overall_average,strike_rate,centuries,thirties,fifties,zeros,calculated_home_points,calculated_away_points,calculated_form_points,calculated_value
98,TM Dilshan,Sri Lanka,76,29.04761905,94.2037302,1,12,13,9,1.8656410256410300,2.3677882236666700,5.277777777777780,3.460837887136610
272,K Weeraratne,Sri Lanka,4,45.0,112.2115385,0,0,0,0,0.0,2.1,2.0,2.8
777,JDF Vandersay,Sri Lanka,4,15.0,130.7142857,0,0,0,1,0.0,2.8,2.0,2.8
847,N Pradeep,Sri Lanka,4,10.0,50.0,0,0,0,2,0.0,2.8000000000000000,2.0,2.8000000000000000
44,DPMD Jayawardene,Sri Lanka,52,35.56097561,108.5778692,1,9,9,2,1.3972103005386300,2.018798536421370,5.278810408921930,2.546241092046640
324,AD Mathews,Sri Lanka,63,24.95652174,112.4382028,0,9,5,2,1.194596651328770,2.1745327102324800,5.290322580645160,2.5227200424512200
412,NLTC Perera,Sri Lanka,73,25.08333333,129.8099103,0,10,3,8,1.613533834586470,1.9639323195677000,5.244565217391300,2.51973283485299
99,KC Sangakkara,Sri Lanka,53,32.13953488,104.8475559,0,12,8,2,1.3847097688711700,1.9889361703068300,5.294117647058820,2.473499814795950
380,CU Jayasinghe,Sri Lanka,3,49.0,126.9047619,0,1,0,0,0.0,2.191836734693880,1.5918367346938800,2.191836734693880
1520,SMA Priyanjan,Sri Lanka,3,54.0,85.85365854,0,1,0,0,0.037500000000000000,1.4000000000000000,1.5833333333333300,2.183333333333330
555,MDKJ Perera,Sri Lanka,46,28.73333333,118.4698104,0,3,12,0,1.4973805854083200,1.3746753246071400,5.303643724696360,2.1563908222938900
413,LD Chandimal,Sri Lanka,50,19.28888889,94.29811197,0,5,5,0,1.1753558052434500,1.6759900165108200,5.257142857142860,2.0738607271313400
101,CK Kapugedera,Sri Lanka,37,22.09677419,112.3329258,0,9,1,0,1.105288694672490,1.3919856460460500,5.376884422110550,1.7267247467459900
43,ST Jayasuriya,Sri Lanka,28,23.65384615,95.51849995,0,4,4,4,0.79375,1.4823296487114300,5.170454545454550,1.5733583488455300
842,BKG Mendis,Sri Lanka,26,20.16666667,97.18996786,0,0,5,3,1.0870967741935500,1.2264227640682900,5.198675496688740,1.56411845742562
345,I Udana,Sri Lanka,20,19.16666667,119.2623626,0,1,1,2,1.575,1.266180981595090,5.254237288135590,1.5579710146956500
758,MD Shanaka,Sri Lanka,39,15.58064516,82.51025955,0,3,1,7,1.0672580645161300,1.3012070568802200,5.115384615384620,1.4862352233291900
1164,PWH de Silva,Sri Lanka,13,22.0,109.9025811,0,1,0,1,1.0112554113766200,1.575,5.1229508196721300,1.4266233766233800
775,MD Gunathilaka,Sri Lanka,26,20.84615385,108.7098609,0,4,3,0,0.778125,1.3356502242780300,5.297029702970300,1.419557195701110
335,BAW Mendis,Sri Lanka,6,2.666666667,84.04761905,0,0,0,2,2.1000000000000000,1.0500000000000000,3.0,1.400000000175
1342,PADLR Sandakan,Sri Lanka,6,6.666666667,75.3968254,0,0,0,0,0.0,0.9333333333333330,3.0,1.4000000000700000
172,G Wijekoon,Sri Lanka,2,1.0,50.0,0,0,0,1,0.0,1.4,1.0,1.4
209,WPUJC Vaas,Sri Lanka,2,33.0,80.35714286,0,0,0,0,0.0,1.4,1.0,1.4
757,PVD Chameera,Sri Lanka,10,6.6,72.07142857,0,0,0,2,1.4000000000000000,1.4,5.0,1.4
798,CAK Rajitha,Sri Lanka,4,4.0,23.21428571,0,0,0,2,0.0,1.0500000000000000,2.0,1.4
1393,CBRLS Kumara,Sri Lanka,2,5.0,150.0,0,0,0,0,0.0,1.4000000000000000,1.0,1.4000000000000000
790,N Dickwella,Sri Lanka,24,20.26086957,116.4808571,0,6,1,2,1.004310344827590,1.1885714285114300,5.3061224489795900,1.3484605338540800
791,DAS Gunaratne,Sri Lanka,12,25.0,92.26904822,0,1,2,2,0.7,1.3605769229326900,5.355450236966820,1.3333333333333300
530,SMSM Senanayake,Sri Lanka,11,9.333333333,73.17614649,0,0,0,2,1.4000000000000000,1.166666666973680,5.0,1.2833333332875000
