ID,player_name,team,overall_innings,overall_average,strike_rate,centuries,thirties,fifties,zeros,calculated_home_points,calculated_away_points,calculated_form_points,calculated_value
529,KS Lokuarachchi,Sri Lanka,2,5.5,55.0,0,0,0,1,0.7,0.0,1.0,0.7
551,RMS Eranga,Sri Lanka,1,6.0,75.0,0,0,0,0,0.7000000000000000,0.0,0.5,0.7000000000000000
641,AK Perera,Sri Lanka,5,11.8,91.3030303,0,0,0,0,0.0,0.7,2.5,0.7
843,SS Pathirana,Sri Lanka,5,5.4,87.33333333,0,0,0,0,0.7,0.6999999999631580,2.5,0.7
845,RLB Rambukwella,Sri Lanka,1,19.0,118.75,0,0,0,0,0.0,0.7,0.5,0.7
880,ST de Silva,Sri Lanka,2,1.5,25.0,0,0,0,1,0.0,0.7000000000000000,1.0,0.7000000000000000
1191,LD Madushanka,Sri Lanka,2,10.5,60.14492754,0,0,0,0,0.7000000000000000,0.7,1.0,0.7
1518,PC de Silva,Sri Lanka,2,11.0,77.5,0,0,0,0,0.0,0.7,1.0,0.7
1564,MVT Fernando,Sri Lanka,1,2.0,100.0,0,0,0,0,0.0,0.7,0.5,0.7
271,ML Udawatte,Sri Lanka,7,10.14285714,70.49339549,0,0,0,2,0.7,0.7000000000000000,3.5000000000000000,0.6999999998028170
422,UWMBCA Welegedara,Sri Lanka,1,0.0,66.66666667,0,0,0,0,0.0,0.0,0.5,0.0
748,B Fernando,Sri Lanka,1,0.0,66.66666667,0,0,0,0,0.0,0.0,0.5,0.0
846,KMC Bandara,Sri Lanka,1,0.0,50.0,0,0,0,0,0.0,0.0,0.5,0.0
1266,M Bhanuka,Sri Lanka,1,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0
1512,MA Aponso,Sri Lanka,1,0.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0
